Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.0176337,0.0135402,-0.00951408,249.65,-321.447,233.077
2,0,-0.0178155,0.0135365,-0.0097083,249.639,-321.435,233.08
3,0,-0.0179747,0.0135402,-0.00977613,249.645,-321.441,233.067
4,0,-0.0178136,0.0137597,-0.00982023,249.652,-321.445,233.071
5,0,-0.0179561,0.013746,-0.00989409,249.642,-321.428,233.092
6,0,-0.0180633,0.0139487,-0.00976427,249.649,-321.444,233.079
7,0,-0.018193,0.0139725,-0.00980579,249.654,-321.449,233.086
8,0,-0.0178897,0.0140371,-0.00956578,249.654,-321.447,233.082
9,0,-0.0177558,0.0139853,-0.00980474,249.653,-321.445,233.075
10,0,-0.0182164,0.0138626,-0.00974221,249.651,-321.439,233.086
11,0,-0.0182116,0.0141486,-0.00990626,249.661,-321.44,233.074
12,0,-0.0179453,0.0139213,-0.0098264,249.66,-321.432,233.077
13,0,-0.0181902,0.0139389,-0.00984085,249.65,-321.429,233.078
14,0,-0.0181891,0.0139501,-0.0096383,249.643,-321.438,233.092
15,0,-0.0176759,0.0137292,-0.00978932,249.647,-321.433,233.086
16,0,-0.0180084,0.0136657,-0.00987854,249.637,-321.441,233.074
17,0,-0.0178659,0.013726,-0.00984535,249.628,-321.433,233.087
18,0,-0.0175647,0.0136135,-0.00986955,249.635,-321.431,233.081
19,0,-0.0178729,0.0136995,-0.00969547,249.65,-321.443,233.077
20,0,-0.0176492,0.0139434,-0.00941928,249.65,-321.429,233.081
21,0,-0.0180799,0.0138471,-0.00936778,249.661,-321.448,233.071
22,0,-0.0177766,0.0136618,-0.0097354,249.651,-321.445,233.083
23,0,-0.0179562,0.0139931,-0.00993145,249.65,-321.438,233.084
24,0,-0.0179723,0.0136254,-0.00942156,249.652,-321.456,233.078
25,0,-0.0179815,0.0138292,-0.00927978,249.631,-321.438,233.086
26,0,-0.0179325,0.0139154,-0.00968896,249.642,-321.44,233.08
27,0,-0.0181688,0.0138165,-0.00971491,249.655,-321.437,233.079
28,0,-0.0181551,0.0140666,-0.00987902,249.654,-321.432,233.085
29,0,-0.018026,0.0135854,-0.00960594,249.671,-321.449,233.067
30,0,-0.0184117,0.0142395,-0.00964626,249.669,-321.447,233.078
31,0,-0.017817,0.0135737,-0.00976793,249.646,-321.443,233.076
